8879465163201998471 False 0.0001308917999267578 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
67508926618993468 False 2.6226043701171875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8073254906593913393 False 0.0001232624053955078 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3455705559173713549 False 0.0001373291015625 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3199949077066308446 False 2.6226043701171875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
366782505441813724 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1999098422408286546 False 3.0994415283203125e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
90283486411102819 False 0.00012087821960449219 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
9214447648508815906 False 3.0994415283203125e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1517183759558741348 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
253059788860805654 False 3.0994415283203125e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4790313928112694138 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1792805777855378356 False 3.0994415283203125e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2668043876291953040 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2423490121332645385 False 0.0001423358917236328 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
472078126236875991 False 0.00011897087097167969 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
188276162040379587 False 0.00011301040649414062 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7808593373786235304 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4619251432585755710 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5255413152007307533 False 0.0002281665802001953 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4878182523866529994 False 3.337860107421875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
870046226486161554 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4071947352669293141 False 0.0001342296600341797 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6451309344156555273 False 0.00012183189392089844 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
214237283796602210 False 2.6226043701171875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8826272865076423759 False 0.0001323223114013672 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3484767428860694314 False 3.337860107421875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
983649996667272220 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7094488755454382124 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8917307773249645314 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7748789838889768690 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4505929458341398816 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6966714253664802453 False 0.00015401840209960938 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
553127043327386169 False 0.00010800361633300781 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2241499995879473962 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3677090799805868439 False 0.00013256072998046875 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1571735349961374948 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8511501634016998264 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7936195755246105022 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6025400999086175548 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1886453410602032497 False 0.00011801719665527344 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2048396090712651114 False 2.6226043701171875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2901835107980366891 False 0.00012731552124023438 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6607844871204655306 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3672034666281170415 False 0.00012612342834472656 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3166130800208864560 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
458755238715461650 False 2.86102294921875e-06 pcputimes(user=0.16, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
6816045511721702769 False 0.00013065338134765625 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8138344564052768056 False 2.86102294921875e-06 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
287174137309072711 False 9.918212890625e-05 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8605158801503474075 False 0.00011849403381347656 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8974133850627137408 False 3.0994415283203125e-06 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7831781329069000380 False 2.86102294921875e-06 pcputimes(user=0.17, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
