4071947352669293141 False 5.14984130859375e-05 pcputimes(user=1.5, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6451309344156555273 False 5.459785461425781e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
214237283796602210 False 4.744529724121094e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8826272865076423759 False 5.555152893066406e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3484767428860694314 False 5.3882598876953125e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
983649996667272220 False 4.839897155761719e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7094488755454382124 False 5.936622619628906e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8917307773249645314 False 5.364418029785156e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7748789838889768690 False 5.7220458984375e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
4505929458341398816 False 5.459785461425781e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6966714253664802453 False 6.031990051269531e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
553127043327386169 False 4.4345855712890625e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2241499995879473962 False 5.364418029785156e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3677090799805868439 False 5.4836273193359375e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1571735349961374948 False 5.459785461425781e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8511501634016998264 False 6.008148193359375e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7936195755246105022 False 5.745887756347656e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6025400999086175548 False 5.507469177246094e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1886453410602032497 False 5.054473876953125e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2048396090712651114 False 5.435943603515625e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2901835107980366891 False 5.555152893066406e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6607844871204655306 False 5.53131103515625e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3672034666281170415 False 5.6743621826171875e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3166130800208864560 False 5.412101745605469e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
458755238715461650 False 4.553794860839844e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
6816045511721702769 False 5.650520324707031e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8138344564052768056 False 5.316734313964844e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
287174137309072711 False 4.7206878662109375e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8605158801503474075 False 5.650520324707031e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
8974133850627137408 False 5.340576171875e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7831781329069000380 False 5.602836608886719e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
1875033530168241558 False 5.435943603515625e-05 pcputimes(user=1.5, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
2720855420750758979 True 2.125112295150757 pcputimes(user=3.62, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3385151753513433959 False 3.504753112792969e-05 pcputimes(user=3.62, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
3051103188710457173 False 3.075599670410156e-05 pcputimes(user=3.62, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
7351849054441591298 False 2.9325485229492188e-05 pcputimes(user=3.63, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
5114598261681191226 False 3.0994415283203125e-05 pcputimes(user=3.63, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16609280, vms=63582208, shared=8425472, text=3817472, lib=0, data=7782400, dirty=0)
